Execucao n�: 0, Valor Poisson: 37, Tempo processamento: 6ms, Resultado funcao: processing completed.
Execucao n�: 1, Valor Poisson: 40, Tempo processamento: 5ms, Resultado funcao: processing completed.
Execucao n�: 2, Valor Poisson: 43, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 3, Valor Poisson: 44, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 4, Valor Poisson: 47, Tempo processamento: 7ms, Resultado funcao: processing completed.
Execucao n�: 5, Valor Poisson: 49, Tempo processamento: 5ms, Resultado funcao: processing completed.
Execucao n�: 6, Valor Poisson: 52, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao n�: 7, Valor Poisson: 53, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao n�: 8, Valor Poisson: 54, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 9, Valor Poisson: 55, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 10, Valor Poisson: 57, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao n�: 11, Valor Poisson: 1, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 12, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 13, Valor Poisson: 3, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 14, Valor Poisson: 2, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 15, Valor Poisson: 2, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao n�: 16, Valor Poisson: 59, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 17, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 18, Valor Poisson: 59, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 19, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 20, Valor Poisson: 3, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 21, Valor Poisson: 1, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 22, Valor Poisson: 2, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 23, Valor Poisson: 3, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 24, Valor Poisson: 2, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 25, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 26, Valor Poisson: 5, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 27, Valor Poisson: 59, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 28, Valor Poisson: 3, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 29, Valor Poisson: 3, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 30, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 31, Valor Poisson: 3, Tempo processamento: 6ms, Resultado funcao: processing completed.
Execucao n�: 32, Valor Poisson: 2, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 33, Valor Poisson: 3, Tempo processamento: 9ms, Resultado funcao: processing completed.
Execucao n�: 34, Valor Poisson: 2, Tempo processamento: 5ms, Resultado funcao: processing completed.
Execucao n�: 35, Valor Poisson: 59, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 36, Valor Poisson: 1, Tempo processamento: 7ms, Resultado funcao: processing completed.
Execucao n�: 37, Valor Poisson: 4, Tempo processamento: 8ms, Resultado funcao: processing completed.
Execucao n�: 38, Valor Poisson: 1, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 39, Valor Poisson: 3, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 40, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 41, Valor Poisson: 1, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 42, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 43, Valor Poisson: 7, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 44, Valor Poisson: 2, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 45, Valor Poisson: 3, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 46, Valor Poisson: 5, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 47, Valor Poisson: 2, Tempo processamento: 5ms, Resultado funcao: processing completed.
Execucao n�: 48, Valor Poisson: 2, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao n�: 49, Valor Poisson: 4, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 50, Valor Poisson: 2, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao n�: 51, Valor Poisson: 3, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 52, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 53, Valor Poisson: 2, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao n�: 54, Valor Poisson: 1, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 55, Valor Poisson: 1, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 56, Valor Poisson: 4, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 57, Valor Poisson: 1, Tempo processamento: 6ms, Resultado funcao: processing completed.
Execucao n�: 58, Valor Poisson: 59, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 59, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 60, Valor Poisson: 2, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 61, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 62, Valor Poisson: 1, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 63, Valor Poisson: 1, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 64, Valor Poisson: 2, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 65, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 66, Valor Poisson: 1, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 67, Valor Poisson: 4, Tempo processamento: 1ms, Resultado funcao: processing completed.
Execucao n�: 68, Valor Poisson: 1, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 69, Valor Poisson: 59, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 70, Valor Poisson: 59, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 71, Valor Poisson: 2, Tempo processamento: 6ms, Resultado funcao: processing completed.
Execucao n�: 72, Valor Poisson: 2, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 73, Valor Poisson: 2, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 74, Valor Poisson: 3, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 75, Valor Poisson: 3, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 76, Valor Poisson: 1, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 77, Valor Poisson: 3, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 78, Valor Poisson: 1, Tempo processamento: 5ms, Resultado funcao: processing completed.
Execucao n�: 79, Valor Poisson: 1, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 80, Valor Poisson: 2, Tempo processamento: 1ms, Resultado funcao: processing completed.
Execucao n�: 81, Valor Poisson: 59, Tempo processamento: 6ms, Resultado funcao: processing completed.
Execucao n�: 82, Valor Poisson: 1, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 83, Valor Poisson: 3, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 84, Valor Poisson: 2, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 85, Valor Poisson: 4, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 86, Valor Poisson: 2, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 87, Valor Poisson: 59, Tempo processamento: 1ms, Resultado funcao: processing completed.
Execucao n�: 88, Valor Poisson: 3, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 89, Valor Poisson: 1, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao n�: 90, Valor Poisson: 2, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 91, Valor Poisson: 3, Tempo processamento: 1ms, Resultado funcao: processing completed.
Execucao n�: 92, Valor Poisson: 2, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 93, Valor Poisson: 3, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 94, Valor Poisson: 1, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 95, Valor Poisson: 3, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao n�: 96, Valor Poisson: 1, Tempo processamento: 1ms, Resultado funcao: processing completed.
Execucao n�: 97, Valor Poisson: 3, Tempo processamento: 1ms, Resultado funcao: processing completed.
Execucao n�: 98, Valor Poisson: 1, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao n�: 99, Valor Poisson: 2, Tempo processamento: 2ms, Resultado funcao: processing completed.
