Execucao nº: 0, Valor Poisson: 43, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 1, Valor Poisson: 46, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 2, Valor Poisson: 49, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 3, Valor Poisson: 50, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 4, Valor Poisson: 53, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 5, Valor Poisson: 55, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 6, Valor Poisson: 58, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 7, Valor Poisson: 59, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 8, Valor Poisson: 1, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 9, Valor Poisson: 1, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 10, Valor Poisson: 2, Tempo processamento: 8ms, Resultado funcao: processing completed.
Execucao nº: 11, Valor Poisson: 3, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 12, Valor Poisson: 4, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 13, Valor Poisson: 5, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 14, Valor Poisson: 4, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 15, Valor Poisson: 4, Tempo processamento: 5ms, Resultado funcao: processing completed.
Execucao nº: 16, Valor Poisson: 2, Tempo processamento: 5ms, Resultado funcao: processing completed.
Execucao nº: 17, Valor Poisson: 2, Tempo processamento: 5ms, Resultado funcao: processing completed.
Execucao nº: 18, Valor Poisson: 59, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 19, Valor Poisson: 2, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 20, Valor Poisson: 3, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 21, Valor Poisson: 1, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 22, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 23, Valor Poisson: 3, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 24, Valor Poisson: 2, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao nº: 25, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 26, Valor Poisson: 5, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao nº: 27, Valor Poisson: 59, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 28, Valor Poisson: 3, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 29, Valor Poisson: 3, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao nº: 30, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 31, Valor Poisson: 3, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao nº: 32, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 33, Valor Poisson: 3, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 34, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 35, Valor Poisson: 59, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao nº: 36, Valor Poisson: 1, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 37, Valor Poisson: 4, Tempo processamento: 2ms, Resultado funcao: processing completed.
